Date,Description,Amount
2024-01-02,SALARY CREDIT,50000.00
2024-01-03,AMAZON MARKETPLACE,-1250.50
2024-01-04,SWIGGY FOOD ORDER,-450.75
2024-01-05,UBER RIDE,-320.00
2024-01-06,PETROL SHELL STATION,-2800.00
2024-01-07,NETFLIX SUBSCRIPTION,-199.00
2024-01-08,FLIPKART ELECTRONICS,-8500.00
2024-01-09,APOLLO HOSPITAL BILL,-3500.00
2024-01-10,RENT PAYMENT,-15000.00
2024-01-11,12,ZOMATO DINNER,-680.25
2024-01-13,SPOTIFY PREMIUM,-119.00
2024-01-14,GROWW SIP INVESTMENT,-5000.00
2024-01-15,BOOKSTORE PURCHASE,-750.00
2024-01-16,ELECTRICITY BILL,-2200.00
2024-01-17,MOVIE TICKETS PVR,-480.00
2024-01-18,MEDICINE PURCHASE,-850.00
2024-01-19,AUTO RIKSHAW,-150.00
2024-01-20,RESTAURANT BILL,-1200.00
2024-01-21,BONUS CREDIT,10000.00
2024-01-22,MOBILE RECHARGE,-399.00
2024-01-23,GROCERY SHOPPING,-3200.00
2024-01-24,FD INTEREST CREDIT,2500.00
2024-01-25,COLLEGE FEES PAYMENT,-15000.00
2024-01-26,AIRTEL BILL,-1599.00
2024-01-27,CINEMA TICKETS,-350.00
2024-01-28,MEDPLUS PHARMACY,-420.00
2024-01-29,UDEMY COURSE,-1999.00
2024-01-30,SBI ATM WITHDRAWAL,-5000.00
